month_year,referrals,accepted_referrals,accepted_referrals_girl,people_accepted_girls,prop_accepted_referrals_girls
2015-01-01,263,225,113,112,0.5022222222222222
2015-02-01,268,217,114,114,0.5253456221198156
2015-03-01,327,279,138,136,0.4946236559139785
2015-04-01,257,208,113,112,0.5432692307692307
2015-05-01,284,247,103,103,0.41700404858299595
2015-06-01,261,210,96,96,0.45714285714285713
2015-07-01,182,123,54,54,0.43902439024390244
2015-08-01,206,165,78,78,0.4727272727272727
2015-09-01,312,251,135,134,0.5378486055776892
2015-10-01,274,223,112,112,0.5022421524663677
2015-11-01,267,230,106,106,0.4608695652173913
2015-12-01,285,237,105,103,0.4430379746835443
2016-01-01,257,214,104,104,0.48598130841121495
2016-02-01,329,273,125,124,0.45787545787545786
2016-03-01,272,238,111,111,0.46638655462184875
2016-04-01,224,193,83,83,0.43005181347150256
2016-05-01,251,206,94,94,0.4563106796116505
2016-06-01,279,233,114,114,0.4892703862660944
2016-07-01,176,134,63,63,0.4701492537313433
2016-08-01,181,150,65,65,0.43333333333333335
2016-09-01,282,228,123,122,0.5394736842105263
2016-10-01,242,195,84,84,0.4307692307692308
2016-11-01,281,225,112,112,0.49777777777777776
2016-12-01,271,226,114,114,0.504424778761062
2017-01-01,228,195,93,93,0.47692307692307695
2017-02-01,257,206,103,103,0.5
2017-03-01,329,268,128,128,0.47761194029850745
2017-04-01,224,191,86,86,0.450261780104712
2017-05-01,297,241,108,108,0.44813278008298757
2017-06-01,270,207,100,100,0.4830917874396135
2017-07-01,203,169,78,78,0.46153846153846156
2017-08-01,204,165,83,83,0.503030303030303
2017-09-01,243,209,102,102,0.4880382775119617
2017-10-01,263,220,108,108,0.4909090909090909
2017-11-01,299,251,117,117,0.46613545816733065
2017-12-01,242,207,110,110,0.5314009661835749
2018-01-01,261,204,118,117,0.5784313725490197
2018-02-01,279,216,102,101,0.4722222222222222
2018-03-01,314,257,130,130,0.5058365758754864
2018-04-01,260,205,99,99,0.48292682926829267
2018-05-01,285,217,106,106,0.48847926267281105
2018-06-01,325,241,119,118,0.49377593360995853
2018-07-01,203,157,68,68,0.43312101910828027
2018-08-01,196,162,75,75,0.46296296296296297
2018-09-01,240,204,108,108,0.5294117647058824
2018-10-01,309,244,124,124,0.5081967213114754
2018-11-01,296,247,125,125,0.5060728744939271
2018-12-01,297,253,125,125,0.49407114624505927
2019-01-01,271,210,109,109,0.5190476190476191
2019-02-01,296,252,130,130,0.5158730158730159
2019-03-01,315,247,125,124,0.5060728744939271
2019-04-01,253,209,109,109,0.5215311004784688
2019-05-01,311,246,124,124,0.5040650406504065
2019-06-01,264,211,117,117,0.5545023696682464
2019-07-01,234,176,82,82,0.4659090909090909
2019-08-01,218,168,92,92,0.5476190476190477
2019-09-01,277,222,127,127,0.5720720720720721
2019-10-01,258,186,95,95,0.510752688172043
2019-11-01,326,267,152,152,0.5692883895131086
2019-12-01,306,228,119,119,0.5219298245614035
2020-01-01,313,243,128,128,0.5267489711934157
2020-02-01,278,228,130,130,0.5701754385964912
2020-03-01,243,205,128,128,0.624390243902439
2020-04-01,59,49,27,27,0.5510204081632653
2020-05-01,119,85,53,53,0.6235294117647059
2020-06-01,216,167,94,94,0.562874251497006
2020-07-01,205,157,84,84,0.535031847133758
2020-08-01,225,172,109,109,0.6337209302325582
2020-09-01,358,268,154,154,0.5746268656716418
2020-10-01,310,228,151,150,0.6622807017543859
2020-11-01,372,266,158,158,0.5939849624060151
2020-12-01,346,241,148,148,0.6141078838174274
2021-01-01,222,149,81,81,0.5436241610738255
2021-02-01,261,178,108,108,0.6067415730337079
2021-03-01,308,216,137,135,0.6342592592592593
2021-04-01,326,228,147,146,0.6447368421052632
2021-05-01,399,281,179,179,0.6370106761565836
2021-06-01,371,236,143,142,0.6059322033898306
