month_year,total_prescriptions,people,year,population,pop_rate,pop_rate_1000
2015-01-01,1880,1185,2015,98927,0.019003911975497084,19.003911975497083
2015-02-01,1782,1138,2015,98927,0.018013282521455214,18.013282521455213
2015-03-01,2074,1237,2015,98927,0.020964953955947316,20.964953955947315
2015-04-01,1905,1176,2015,98927,0.01925662357091593,19.25662357091593
2015-05-01,1900,1163,2015,98927,0.01920608125183216,19.20608125183216
2015-06-01,2061,1219,2015,98927,0.020833543926329516,20.833543926329515
2015-07-01,1843,1083,2015,98927,0.018629898814277193,18.629898814277194
2015-08-01,1861,1158,2015,98927,0.018811851162978763,18.811851162978762
2015-09-01,2125,1296,2015,98927,0.021480485610601757,21.480485610601757
2015-10-01,2031,1204,2015,98927,0.020530290011826904,20.530290011826903
2015-11-01,2136,1296,2015,98927,0.02159167871258605,21.59167871258605
2015-12-01,2196,1293,2015,98927,0.022198186541591274,22.198186541591273
2016-01-01,2060,1279,2016,99042,0.020799256880919208,20.79925688091921
2016-02-01,2150,1331,2016,99042,0.02170796227862927,21.70796227862927
2016-03-01,2315,1397,2016,99042,0.023373922174431048,23.373922174431048
2016-04-01,2120,1329,2016,99042,0.02140506047939258,21.40506047939258
2016-05-01,2244,1392,2016,99042,0.02265705458290422,22.65705458290422
2016-06-01,2355,1402,2016,99042,0.023777791240079966,23.777791240079967
2016-07-01,1929,1177,2016,99042,0.019476585690919004,19.476585690919002
2016-08-01,2358,1425,2016,99042,0.023808081420003634,23.808081420003635
2016-09-01,2355,1408,2016,99042,0.023777791240079966,23.777791240079967
2016-10-01,2123,1355,2016,99042,0.02143535065931625,21.43535065931625
2016-11-01,2546,1500,2016,99042,0.025706266028553543,25.706266028553543
2016-12-01,2413,1450,2016,99042,0.024363401385270895,24.363401385270894
2017-01-01,2462,1518,2017,99041,0.02485839197907937,24.85839197907937
2017-02-01,2270,1436,2017,99041,0.02291980089054028,22.91980089054028
2017-03-01,2644,1557,2017,99041,0.02669601478175705,26.69601478175705
2017-04-01,2169,1374,2017,99041,0.02190002120334003,21.90002120334003
2017-05-01,2540,1514,2017,99041,0.025645944608798377,25.645944608798377
2017-06-01,2490,1473,2017,99041,0.025141103179491323,25.141103179491324
2017-07-01,2106,1273,2017,99041,0.02126392100241314,21.26392100241314
2017-08-01,2482,1456,2017,99041,0.025060328550802192,25.060328550802193
2017-09-01,2333,1424,2017,99041,0.02355590109146717,23.55590109146717
2017-10-01,2414,1454,2017,99041,0.0243737442069446,24.3737442069446
2017-11-01,2532,1512,2017,99041,0.02556516998010925,25.56516998010925
2017-12-01,2416,1458,2017,99041,0.02439393786411688,24.39393786411688
2018-01-01,2530,1517,2018,99437,0.0254432454720074,25.4432454720074
2018-02-01,2331,1448,2018,99437,0.023441978338043182,23.44197833804318
2018-03-01,2605,1561,2018,99437,0.02619749187928035,26.19749187928035
2018-04-01,2452,1486,2018,99437,0.024658829208443537,24.658829208443535
2018-05-01,2693,1596,2018,99437,0.027082474330480607,27.082474330480608
2018-06-01,2498,1546,2018,99437,0.025121433671570943,25.121433671570944
2018-07-01,1888,1163,2018,99437,0.018986896225750977,18.986896225750975
2018-08-01,3080,1673,2018,99437,0.03097438579200901,30.97438579200901
2018-09-01,2470,1519,2018,99437,0.024839848346189044,24.839848346189044
2018-10-01,2758,1550,2018,99437,0.02773615455011716,27.73615455011716
2018-11-01,2791,1643,2018,99437,0.028068022969317256,28.068022969317255
2018-12-01,2633,1554,2018,99437,0.02647907720466225,26.47907720466225
2019-01-01,2714,1662,2019,100230,0.027077721241145367,27.077721241145365
2019-02-01,2577,1605,2019,100230,0.025710865010475904,25.710865010475903
2019-03-01,2374,1458,2019,100230,0.023685523296418237,23.685523296418236
2019-04-01,2374,1458,2019,100230,0.023685523296418237,23.685523296418236
2019-05-01,3291,1857,2019,100230,0.032834480694402875,32.83448069440288
2019-06-01,2693,1616,2019,100230,0.026868203132794574,26.868203132794573
2019-07-01,2497,1521,2019,100230,0.02491270078818717,24.91270078818717
2019-08-01,2098,1329,2019,100230,0.020931856729522098,20.9318567295221
2019-09-01,2178,1372,2019,100230,0.021730020951810834,21.730020951810832
2019-10-01,2175,1343,2019,100230,0.021700089793475007,21.700089793475005
2019-11-01,2175,1390,2019,100230,0.021700089793475007,21.700089793475005
2019-12-01,2234,1413,2019,100230,0.02228873590741295,22.28873590741295
2020-01-01,2312,1473,2020,100868,0.02292104532656541,22.921045326565412
2020-02-01,2094,1383,2020,100868,0.02075980489352421,20.75980489352421
2020-03-01,2680,1599,2020,100868,0.02656937780069001,26.56937780069001
2020-04-01,1881,1238,2020,100868,0.018648134195185788,18.648134195185786
2020-05-01,1887,1224,2020,100868,0.018707617876829122,18.707617876829122
2020-06-01,2111,1300,2020,100868,0.020928341991513662,20.928341991513662
2020-07-01,2049,1281,2020,100868,0.02031367728119919,20.31367728119919
2020-08-01,2266,1437,2020,100868,0.02246500376729984,22.465003767299837
2020-09-01,2824,1677,2020,100868,0.02799698616013007,27.99698616013007
2020-10-01,2906,1713,2020,100868,0.02880992980925566,28.80992980925566
2020-11-01,2570,1619,2020,100868,0.025478843637228854,25.478843637228856
2020-12-01,2570,1619,2020,100868,0.025478843637228854,25.478843637228856
2021-01-01,3335,1905,2021,100868,0.03306301304675417,33.06301304675417
2021-02-01,2550,1611,2021,100868,0.025280564698417735,25.280564698417734
2021-03-01,3766,2079,2021,100868,0.0373359241781338,37.3359241781338
2021-04-01,3274,1919,2021,100868,0.03245826228338026,32.45826228338026
2021-05-01,2797,1742,2021,100868,0.02772930959273506,27.72930959273506
