simd2020_decile,total_referrals,people,mean_pop,refs_per_100
1,417,300,1423.2857142857142,29.298404095152065
2,1344,947,4586.285714285715,29.30475953152255
3,1835,1270,6073,30.21570887534991
4,2288,1619,8172.857142857143,27.995105750742876
5,2062,1462,8031.428571428572,25.67413731768054
6,2476,1788,11203.42857142857,22.100377435478936
7,2888,2088,12331,23.42064714946071
8,3308,2413,17070.285714285714,19.37870317678171
9,2909,2161,16075.857142857143,18.095458140423528
10,2347,1814,14805.857142857143,15.851834698623133
