simd2020_decile,mean_total,mean_people,mean_pop,mean_person_rate,mean_person_rate_100,mean_pop_rate,mean_pop_rate_100,total_mean_pop,proportion_total_mean_pop,area,mean_overall_rate,mean_overall_100
1,60,53,1423,0.03724525650035137,3.7245256500351367,0.0421644413211525,4.2164441321152495,99772,0.01426251854227639,NHS Grampian,0.031341458525438,3.1341458525438
2,192,173,4586,0.037723506323593545,3.7723506323593545,0.041866550370693416,4.186655037069341,99772,0.04596479974341498,NHS Grampian,0.031341458525438,3.1341458525438
3,262,238,6073,0.039189856742960646,3.9189856742960645,0.04314177506998189,4.314177506998189,99772,0.06086878082027022,NHS Grampian,0.031341458525438,3.1341458525438
4,327,296,8173,0.03621681145234308,3.6216811452343083,0.040009788327419554,4.000978832741955,99772,0.0819167702361384,NHS Grampian,0.031341458525438,3.1341458525438
5,295,265,8031,0.03299713609762171,3.299713609762171,0.03673266093886191,3.673266093886191,99772,0.0804935252375416,NHS Grampian,0.031341458525438,3.1341458525438
6,354,323,11203,0.028831562974203338,2.8831562974203337,0.03159867892528787,3.159867892528787,99772,0.11228601210760535,NHS Grampian,0.031341458525438,3.1341458525438
7,413,372,12331,0.030167869596950773,3.0167869596950774,0.03349282296650718,3.349282296650718,99772,0.12359178927955738,NHS Grampian,0.031341458525438,3.1341458525438
8,473,431,17070,0.0252489748096075,2.52489748096075,0.027709431751611013,2.770943175161101,99772,0.17109008539469991,NHS Grampian,0.031341458525438,3.1341458525438
9,416,382,16076,0.023762129883055486,2.3762129883055487,0.025877083851704404,2.5877083851704406,99772,0.16112737040452232,NHS Grampian,0.031341458525438,3.1341458525438
10,335,308,14806,0.020802377414561663,2.080237741456166,0.022625962447656356,2.2625962447656356,99772,0.14839834823397346,NHS Grampian,0.031341458525438,3.1341458525438
